0.005,90.326,0.0142
0.01,190.548,0.0279
0.015,292.203,0.0184
0.02,394.45,0.0154
0.025,496.618,0.0259
0.03,599.019,0.0201
0.035,702.666,0.0212
0.04,805.371,0.0481
0.045,908.162,0.042
0.05,1011.074,0.0298
0.055,1113.892,0.0422
0.06,1218.134,0.0865
0.065,1321.23,0.0448
0.07,1424.101,0.0353
0.075,1526.816,0.0543
0.08,1631.195,0.0341
0.085,1733.446,0.0179
0.09,1836.315,0.074
0.095,1938.782,0.0335
0.1,2040.995,0.0507
0.105,2144.124,0.0365
0.11,2246.155,0.0674
0.115,2349.172,0.03
0.12,2451.755,0.0594
0.125,2553.991,0.0525
0.13,2656.582,0.0529
0.135,2759.155,0.0449
0.14,2861.67,0.0429
0.145,2963.826,0.0609
0.15,3066.513,0.0671
0.155,3168.645,0.0451
0.16,3271.503,0.0281
0.165,3373.828,0.0688
0.17,3476.064,0.0654
0.175,3578.211,0.0405
0.18,3680.652,0.0699
0.185,3782.735,0.0886
0.19,3884.625,0.0722
0.195,3987.05,0.0855
0.2,4088.825,0.054
0.205,4190.848,0.1241
0.21,4292.819,0.0391
0.215,4394.82,0.0597
0.22,4496.585,0.1038
0.225,4598.43,0.112
0.23,4700.248,0.1037
0.235,4802.019,0.0901
0.24,4903.784,0.1221
0.245,5005.122,0.0969
0.25,5106.716,0.0758
0.255,5208.167,0.0577
0.26,5309.781,0.0876
0.265,5411.137,0.0976
0.27,5512.43,0.1063
0.275,5613.501,0.1205
0.28,5714.567,0.0993
0.285,5815.795,0.0822
0.29,5916.784,0.1385
0.295,6017.714,0.1126
0.3,6118.607,0.1182
0.305,6219.614,0.0796
0.31,6329.802,0.0961
0.315,6429.881,0.1109
0.32,6530.155,0.1331
0.325,6631.087,0.1183
0.33,6730.192,0.1168
0.335,6830.303,0.1135
0.34,6937.824,0.5927
0.345,7038.191,0.1101
0.35,7135.943,0.3561
0.355,7237.003,0.0739
0.36,7336.814,0.1407
0.365,7434.832,0.1461
0.37,7531.916,0.0812
0.375,7631.878,0.128
0.38,7730.744,0.0999
0.385,7830.482,0.2375
0.39,7930.395,0.1174
0.395,8028.888,0.2677
0.4,8128.866,0.2756
0.405,8226.578,0.1101
0.41,8323.386,0.097
0.415,8422.702,0.2189
0.42,8521.271,0.1271
0.425,8618.594,0.1412
0.43,8718.552,0.094
0.435,8817.057,0.1172
0.44,8912.368,0.1251
0.445,9010.32,0.1217
0.45,9109.018,0.0986
0.455,9206.215,0.2153
0.46,9304.38,0.2447
0.465,9400.911,0.1427
0.47,9498.531,0.128
0.475,9596.486,0.2729
0.48,9693.812,0.148
0.485,9789.813,0.1443
0.49,9887.078,0.3764
0.495,9984.461,0.2484
0.5,10080.795,0.2707
0.505,10177.022,0.0984
0.51,10270.755,0.2925
0.515,10352.732,0.1928
0.52,10416.522,0.0755
0.525,10466.182,0.0822
0.53,10507.211,0.1378
0.535,10542.364,0.1173
0.54,10572.698,0.0536
0.545,10599.699,0.1206
0.55,10622.334,0.0953
0.555,10640.441,0.1213
