1.0,4.660781
2.0,4.418750
3.0,4.126094
4.0,3.833125
5.0,3.531406
6.0,3.261250
7.0,3.008594
8.0,2.797031
9.0,2.609062
10.0,2.445625
11.0,2.293906
12.0,2.164062
13.0,2.045469
14.0,1.928281
15.0,1.833594
16.0,1.750938
17.0,1.667344
18.0,1.595625
19.0,1.527500
20.0,1.479844
21.0,1.417969
22.0,1.367031
23.0,1.328125
24.0,1.274687
25.0,1.238750
26.0,1.196719
27.0,1.160781
28.0,1.138281
29.0,1.089844
30.0,1.054688
31.0,1.038281
32.0,1.010938
33.0,0.997031
34.0,0.956719
35.0,0.945312
36.0,0.917656
37.0,0.899687
38.0,0.878125
39.0,0.861875
40.0,0.849063
41.0,0.823594
42.0,0.805625
43.0,0.794063
44.0,0.783906
45.0,0.755625
46.0,0.750781
47.0,0.736406
48.0,0.716094
49.0,0.708750
50.0,0.695312
60.0,0.585156
70.0,0.505781
80.0,0.450469
90.0,0.407813
100.0,0.370781
110.0,0.338125
120.0,0.317812
130.0,0.300469
140.0,0.276719
150.0,0.262813
160.0,0.265937
170.0,0.237656
180.0,0.232500
190.0,0.215625
200.0,0.210313
210.0,0.205000
220.0,0.200937
230.0,0.193750
240.0,0.188594
250.0,0.182188
260.0,0.172969
270.0,0.170781
280.0,0.174844
290.0,0.170781
300.0,0.163281
