1.0,4.429062
2.0,4.217344
3.0,3.920781
4.0,3.621406
5.0,3.357969
6.0,3.100625
7.0,2.875469
8.0,2.674375
9.0,2.504219
10.0,2.329375
11.0,2.197500
12.0,2.063125
13.0,1.955938
14.0,1.859375
15.0,1.777500
16.0,1.683750
17.0,1.601875
18.0,1.539844
19.0,1.472500
20.0,1.419844
21.0,1.372031
22.0,1.321406
23.0,1.289062
24.0,1.246875
25.0,1.211406
26.0,1.169219
27.0,1.130000
28.0,1.095156
29.0,1.077969
30.0,1.037969
31.0,1.008125
32.0,0.987187
33.0,0.965938
34.0,0.942344
35.0,0.921875
36.0,0.894219
37.0,0.872344
38.0,0.853281
39.0,0.838437
40.0,0.818125
41.0,0.808125
42.0,0.782656
43.0,0.775469
44.0,0.756875
45.0,0.758750
46.0,0.739531
47.0,0.715781
48.0,0.705000
49.0,0.701250
50.0,0.685469
60.0,0.596562
70.0,0.524219
80.0,0.456094
90.0,0.415312
100.0,0.379375
110.0,0.342969
120.0,0.331562
130.0,0.297656
140.0,0.291719
150.0,0.268906
160.0,0.260156
170.0,0.234219
180.0,0.228125
190.0,0.216719
200.0,0.220469
210.0,0.201406
220.0,0.202813
230.0,0.197500
240.0,0.195781
250.0,0.182969
260.0,0.189219
270.0,0.173906
280.0,0.173125
290.0,0.169063
300.0,0.176719
