0.005,36.281,0.2792
0.01,137.813,0.0849
0.015,243.67,0.0272
0.02,350.63,0.017
0.025,459.415,0.0177
0.03,567.729,0.0155
0.035,676.154,0.0161
0.04,784.854,0.0192
0.045,895.096,0.0451
0.05,1004.137,0.0175
0.055,1113.036,0.03
0.06,1222.339,0.0412
0.065,1331.464,0.0212
0.07,1440.803,0.024
0.075,1550.746,0.0694
0.08,1686.96,0.0435
0.085,1797.987,0.0444
0.09,1908.449,0.0326
0.095,2018.931,0.0399
0.1,2129.51,0.0401
0.105,2240.12,0.0228
0.11,2350.891,0.0525
0.115,2461.266,0.0418
0.12,2571.696,0.0478
0.125,2682.448,0.0445
0.13,2792.724,0.0458
0.135,2903.065,0.1427
0.14,3013.416,0.0476
0.145,3123.854,0.0424
0.15,3233.917,0.0398
0.155,3344.118,0.052
0.16,3454.268,0.0424
0.165,3564.326,0.0561
0.17,3674.28,0.0496
0.175,3784.421,0.046
0.18,3894.199,0.0484
0.185,4004.016,0.0641
0.19,4113.766,0.0377
0.195,4222.91,0.0676
0.2,4332.574,0.0682
0.205,4442.006,0.039
0.21,4551.332,0.0917
0.215,4660.537,0.0598
0.22,4769.898,0.0353
0.225,4878.511,0.0362
0.23,4987.734,0.0901
0.235,5096.153,0.1931
0.24,5204.816,0.0652
0.245,5313.279,0.0587
0.25,5421.831,0.066
0.255,5530.163,0.0654
0.26,5638.345,0.0547
0.265,5746.461,0.0569
0.27,5854.217,0.0385
0.275,5962.24,0.061
0.28,6070.049,0.0664
0.285,6177.617,0.0961
0.29,6285.121,0.0736
0.295,6392.269,0.0381
0.3,6499.634,0.0748
0.305,6611.599,0.1033
0.31,6715.567,0.1269
0.315,6823.791,0.0705
0.32,6929.171,0.0738
0.325,7035.123,0.1124
0.33,7141.307,0.1212
0.335,7246.405,0.0961
0.34,7352.573,0.089
0.345,7456.921,0.1544
0.35,7561.77,0.0718
0.355,7667.735,0.1285
0.36,7771.319,0.0715
0.365,7873.915,0.1297
0.37,7979.814,0.099
0.375,8084.44,0.1309
0.38,8189.425,0.0925
0.385,8292.369,0.1148
0.39,8395.613,0.0925
0.395,8500.522,0.1298
0.4,8603.35,0.0813
0.405,8705.126,0.1243
0.41,8809.737,0.1053
0.415,8912.115,0.1047
0.42,9020.312,0.4526
0.425,9119.104,0.1197
0.43,9212.926,0.1163
0.435,9305.179,0.1425
0.44,9397.675,0.1378
0.445,9492.105,0.1178
0.45,9586.135,0.1528
0.455,9680.626,0.1237
0.46,9774.821,0.1517
0.465,9869.791,0.0913
0.47,9965.759,0.113
0.475,10062.856,0.138
0.48,10156.955,0.0836
0.485,10253.046,0.158
0.49,10350.116,0.1653
0.495,10445.482,0.0959
0.5,10539.804,0.1364
0.505,10636.399,0.1548
0.51,10731.043,0.1493
0.515,10826.273,0.1678
0.52,10921.431,0.1464
0.525,11016.228,0.1702
0.53,11108.443,0.1543
0.535,11195.232,0.053
0.54,11255.967,0.663
0.545,11301.9,0.2122
0.55,11349.426,0.1452
0.555,11396.143,0.0795
