0.191,7.685,34.696,0,0,0,0,0,0
0.191,7.698,34.852,0,0,0,0,0,0
0.191,7.612,34.877,0,0,0,0,0,0
0.191,7.583,34.672,0,0,0,0,0,0
0.191,7.591,34.666,0,0,0,0,0,0
0.191,7.568,34.802,0,0,0,0,0,0
0.191,7.567,34.583,0,0,0,0,0,0
0.191,7.582,34.655,0,0,0,0,0,0
0.191,7.591,34.779,0,0,0,0,0,0
0.191,7.577,34.613,0,0,0,0,0,0
0.191,7.659,34.723,0,0,0,0,0,0
0.191,7.565,34.57,0,0,0,0,0,0
0.191,7.626,34.557,0,0,0,0,0,0
0.191,7.558,34.66,0,0,0,0,0,0
0.191,7.542,34.792,0,0,0,0,0,0
0.191,7.595,34.571,0,0,0,0,0,0
0.224,7.635,34.762,0,0,0,0,0,0
0.191,7.619,34.659,0,0,0,0,0,0
0.191,7.645,34.56,0,0,0,0,0,0
0.191,7.616,34.705,0,0,0,0,0,0
0.191,7.52,34.73,0,0,0,0,0,0
0.191,7.541,34.547,0,0,0,0,0,0
0.224,7.484,34.732,0,0,0,0,0,0
0.191,7.49,34.654,0,0,0,0,0,0
0.191,7.509,34.56,0,0,0,0,0,0
0.191,7.543,34.731,0,0,0,0,0,0
0.191,7.596,34.66,0,0,0,0,0,0
0.191,7.547,34.629,0,0,0,0,0,0
0.191,7.627,34.818,0,0,0,0,0,0
0.191,7.671,34.796,0,0,0,0,0,0
0.191,7.656,34.861,0,0,0,0,0,0
0.191,7.632,34.708,0,0,0,0,0,0
0.191,7.586,34.796,0,0,0,0,0,0
0.191,7.558,34.55,0,0,0,0,0,0
0.191,7.581,34.632,0,0,0,0,0,0
0.224,7.59,34.563,0,0,0,0,0,0
0.191,7.548,34.577,0,0,0,0,0,0
0.191,7.508,34.628,0,0,0,0,0,0
0.191,7.474,34.669,0,0,0,0,0,0
0.191,7.537,34.529,0,0,0,0,0,0
0.191,7.535,34.597,0,0,0,0,0,0
0.191,7.669,34.783,0,0,0,0,0,0
0.191,7.633,34.685,0,0,0,0,0,0
0.191,7.645,34.679,0,0,0,0,0,0
0.191,7.612,34.503,0,0,0,0,0,0
0.191,7.691,34.653,0,0,0,0,0,0
0.191,7.701,34.723,0,0,0,0,0,0
0.191,7.708,34.807,0,0,0,0,0,0
0.191,7.72,34.636,0,0,0,0,0,0
0.191,7.747,34.631,0,0,0,0,0,0
0.191,7.754,34.522,0,0,0,0,0,0
0.191,7.783,34.538,0,0,0,0,0,0
0.191,7.739,34.488,0,0,0,0,0,0
0.191,7.826,34.578,0,0,0,0,0,0
0.191,7.755,34.784,0,0,0,0,0,0
0.191,7.688,34.633,0,0,0,0,0,0
0.191,7.681,34.706,0,0,0,0,0,0
0.191,7.707,34.653,0,0,0,0,0,0
0.191,7.718,34.675,0,0,0,0,0,0
0.191,7.718,34.502,0,0,0,0,0,0
0.191,7.725,34.556,0,0,0,0,0,0
0.191,7.778,34.476,0,0,0,0,0,0
0.191,7.693,34.843,0,0,0,0,0,0
0.191,7.722,34.685,0,0,0,0,0,0
0.191,7.721,34.611,0,0,0,0,0,0
0.191,7.701,34.624,0,0,0,0,0,0
0.191,7.723,34.603,0,0,0,0,0,0
0.191,7.708,34.638,0,0,0,0,0,0
0.191,7.717,34.646,0,0,0,0,0,0
0.191,7.725,34.602,0,0,0,0,0,0
0.191,7.711,34.508,0,0,0,0,0,0
0.191,7.759,34.759,0,0,0,0,0,0
0.191,7.769,34.519,0,0,0,0,0,0
0.191,7.79,34.709,0,0,0,0,0,0
0.191,7.787,34.58,0,0,0,0,0,0
0.191,7.846,34.607,0,0,0,0,0,0
0.191,7.814,34.683,0,0,0,0,0,0
0.191,7.813,34.59,0,0,0,0,0,0
0.191,7.774,34.835,0,0,0,0,0,0
0.191,7.802,34.48,0,0,0,0,0,0
0.191,7.815,34.717,0,0,0,0,0,0
0.191,7.861,34.598,0,0,0,0,0,0
0.191,7.863,34.619,0,0,0,0,0,0
0.191,7.78,34.655,0,0,0,0,0,0
0.191,7.828,34.682,0,0,0,0,0,0
0.191,7.86,34.6,0,0,0,0,0,0
0.191,7.806,34.749,0,0,0,0,0,0
0.191,7.769,34.86,0,0,0,0,0,0
0.191,7.773,34.799,0,0,0,0,0,0
0.191,7.828,34.712,0,0,0,0,0,0
0.191,7.803,34.552,0,0,0,0,0,0
0.191,7.767,34.684,0,0,0,0,0,0
0.191,7.705,34.541,0,0,0,0,0,0
0.191,7.671,34.589,0,0,0,0,0,0
0.191,7.7,34.587,0,0,0,0,0,0
0.191,7.764,34.669,0,0,0,0,0,0
0.191,7.738,34.744,0,0,0,0,0,0
0.191,7.76,34.818,0,0,0,0,0,0
0.191,7.713,34.652,0,0,0,0,0,0
0.191,7.773,34.782,0,0,0,0,0,0
0.191,7.738,34.673,0,0,0,0,0,0
0.191,7.782,34.604,0,0,0,0,0,0
0.191,7.723,34.705,0,0,0,0,0,0
0.191,7.737,34.74,0,0,0,0,0,0
0.191,7.771,34.734,0,0,0,0,0,0
0.191,7.775,34.78,0,0,0,0,0,0
0.191,7.785,34.742,0,0,0,0,0,0
0.191,7.801,34.836,0,0,0,0,0,0
0.191,7.759,34.671,0,0,0,0,0,0
0.191,7.73,34.655,0,0,0,0,0,0
0.191,7.792,34.613,0,0,0,0,0,0
0.191,7.753,34.648,0,0,0,0,0,0
0.191,7.734,34.612,0,0,0,0,0,0
0.191,7.736,34.717,0,0,0,0,0,0
0.191,7.756,34.572,0,0,0,0,0,0
0.191,7.689,34.437,0,0,0,0,0,0
0.191,7.645,34.523,0,0,0,0,0,0
0.191,7.627,34.525,0,0,0,0,0,0
0.191,7.653,34.571,0,0,0,0,0,0
0.191,7.65,34.754,0,0,0,0,0,0
0.191,7.61,34.569,0,0,0,0,0,0
0.191,7.649,34.548,0,0,0,0,0,0
0.191,7.546,34.616,0,0,0,0,0,0
0.191,7.603,34.744,0,0,0,0,0,0
0.191,7.596,34.714,0,0,0,0,0,0
0.191,7.624,34.653,0,0,0,0,0,0
0.191,7.612,34.657,0,0,0,0,0,0
0.191,7.646,34.749,0,0,0,0,0,0
0.191,7.603,34.7,0,0,0,0,0,0
0.191,7.569,34.532,0,0,0,0,0,0
0.191,7.609,34.569,0,0,0,0,0,0
0.191,7.632,34.702,0,0,0,0,0,0
0.191,7.606,34.744,0,0,0,0,0,0
0.191,7.591,34.744,0,0,0,0,0,0
0.191,7.65,34.793,0,0,0,0,0,0
0.191,7.596,34.79,0,0,0,0,0,0
0.191,7.619,34.692,0,0,0,0,0,0
0.191,7.664,34.704,0,0,0,0,0,0
0.191,7.68,34.745,0,0,0,0,0,0
0.191,7.667,34.742,0,0,0,0,0,0
0.191,7.717,34.917,0,0,0,0,0,0
0.191,7.666,34.728,0,0,0,0,0,0
0.191,7.673,34.87,0,0,0,0,0,0
0.191,7.637,34.726,0,0,0,0,0,0
0.191,7.688,34.69,0,0,0,0,0,0
0.191,7.603,34.58,0,0,0,0,0,0
0.191,7.635,34.786,0,0,0,0,0,0
0.191,7.658,34.828,0,0,0,0,0,0
0.191,7.656,34.851,0,0,0,0,0,0
0.191,7.695,34.822,0,0,0,0,0,0
0.191,7.691,34.798,0,0,0,0,0,0
0.191,7.635,34.991,0,0,0,0,0,0
0.191,7.665,34.775,0,0,0,0,0,0
0.191,7.591,34.875,0,0,0,0,0,0
0.191,7.552,34.759,0,0,0,0,0,0
0.191,7.616,34.773,0,0,0,0,0,0
0.191,7.575,34.886,0,0,0,0,0,0
0.191,7.613,34.722,0,0,0,0,0,0
0.191,7.6,34.745,0,0,0,0,0,0
0.191,7.575,34.706,0,0,0,0,0,0
0.191,7.582,34.639,0,0,0,0,0,0
0.191,7.556,34.675,0,0,0,0,0,0
0.191,7.506,34.688,0,0,0,0,0,0
0.191,7.547,34.647,0,0,0,0,0,0
0.191,7.585,34.678,0,0,0,0,0,0
0.191,7.612,34.783,0,0,0,0,0,0
0.191,7.605,34.74,0,0,0,0,0,0
0.191,7.63,34.714,0,0,0,0,0,0
0.191,7.616,34.595,0,0,0,0,0,0
0.191,7.591,34.554,0,0,0,0,0,0
0.191,7.689,34.656,0,0,0,0,0,0
0.191,7.614,34.799,0,0,0,0,0,0
0.191,7.647,34.817,0,0,0,0,0,0
0.191,7.637,34.683,0,0,0,0,0,0
0.191,7.616,34.569,0,0,0,0,0,0
0.191,7.68,34.751,0,0,0,0,0,0
0.191,7.664,34.703,0,0,0,0,0,0
0.191,7.674,34.758,0,0,0,0,0,0
0.191,7.705,34.702,0,0,0,0,0,0
0.191,7.651,34.672,0,0,0,0,0,0
0.191,7.724,34.705,0,0,0,0,0,0
0.191,7.68,34.694,0,0,0,0,0,0
0.191,7.671,34.769,0,0,0,0,0,0
0.191,7.62,34.659,0,0,0,0,0,0
0.191,7.554,34.754,0,0,0,0,0,0
0.191,7.54,34.584,0,0,0,0,0,0
0.191,7.579,34.659,0,0,0,0,0,0
0.191,7.578,34.571,0,0,0,0,0,0
0.191,7.543,34.597,0,0,0,0,0,0
0.191,7.565,34.676,0,0,0,0,0,0
0.191,7.523,34.661,0,0,0,0,0,0
0.191,7.596,34.649,0,0,0,0,0,0
0.191,7.525,34.667,0,0,0,0,0,0
0.191,7.593,34.768,0,0,0,0,0,0
0.191,7.613,34.607,0,0,0,0,0,0
0.191,7.592,34.599,0,0,0,0,0,0
0.191,7.587,34.747,0,0,0,0,0,0
0.191,7.599,34.674,0,0,0,0,0,0
0.191,7.623,34.846,0,0,0,0,0,0
0.191,7.645,34.702,0,0,0,0,0,0
0.191,7.61,34.625,0,0,0,0,0,0
0.191,7.657,34.87,0,0,0,0,0,0
0.191,7.698,34.723,0,0,0,0,0,0
0.191,7.671,34.706,0,0,0,0,0,0
0.191,7.728,34.615,0,0,0,0,0,0
0.191,7.707,34.698,0,0,0,0,0,0
0.191,7.654,34.7,0,0,0,0,0,0
0.191,7.602,34.664,0,0,0,0,0,0
0.191,7.62,34.639,0,0,0,0,0,0
0.191,7.635,34.834,0,0,0,0,0,0
0.191,7.596,34.759,0,0,0,0,0,0
0.191,7.575,34.637,0,0,0,0,0,0
0.191,7.483,34.646,0,0,0,0,0,0
0.191,7.463,34.745,0,0,0,0,0,0
0.191,7.546,34.653,0,0,0,0,0,0
0.191,7.556,34.603,0,0,0,0,0,0
0.191,7.567,34.574,0,0,0,0,0,0
0.191,7.605,34.453,0,0,0,0,0,0
0.624,12.079,42.525,1,0,0,1,0,0
0.624,12.081,42.531,1,0,0,1,0,0
1.057,20.633,55.945,1,0,0,1,0,0
1.057,20.626,55.941,1,0,0,1,0,0
1.057,20.622,55.956,1,0,0,1,0,0
1.456,28.083,67.201,1,0,0,1,0,0
1.423,28.079,67.144,1,0,0,1,0,0
1.423,36.839,79.655,1,0,0,1,0,0
1.856,36.842,79.828,1,0,0,1,0,0
1.856,36.868,79.675,1,0,0,1,0,0
2.255,44.919,90.668,1,0,0,1,0,0
2.255,44.907,90.591,1,0,0,1,0,0
2.255,54.35,102.777,1,0,0,1,0,0
2.721,54.4,102.815,1,0,0,1,0,0
2.688,54.445,102.77,1,0,0,1,0,0
