1,4.621094
2,4.370156
3,4.073906
4,3.760469
5,3.465937
6,3.174062
7,2.942656
8,2.736094
9,2.546719
10,2.380156
11,2.235937
12,2.106719
13,1.990469
14,1.878906
15,1.793125
16,1.697031
17,1.622500
18,1.567344
19,1.490938
20,1.433750
21,1.382500
22,1.336250
23,1.288750
24,1.243281
25,1.206875
26,1.162344
27,1.134375
28,1.088125
29,1.063281
30,1.039062
31,1.007969
32,0.978906
33,0.954531
34,0.931094
35,0.911875
36,0.892500
37,0.865625
38,0.857344
39,0.832344
40,0.817344
41,0.793750
42,0.778906
43,0.767656
44,0.752031
45,0.737500
46,0.725938
47,0.702344
48,0.702187
49,0.679531
50,0.664844
60,0.568906
70,0.497969
80,0.436094
90,0.397813
100,0.354063
110,0.337969
120,0.303750
130,0.289375
140,0.271406
150,0.254688
160,0.247812
170,0.229375
180,0.223750
190,0.213281
200,0.209531
210,0.198125
220,0.184688
230,0.186406
240,0.175781
250,0.177344
260,0.173750
270,0.164687
280,0.175937
290,0.165156
300,0.156875
