1,4.431406
2,4.209375
3,3.929219
4,3.637656
5,3.364063
6,3.111094
7,2.877656
8,2.672188
9,2.497031
10,2.338125
11,2.213750
12,2.082187
13,1.962187
14,1.867969
15,1.768281
16,1.684687
17,1.610469
18,1.544219
19,1.482500
20,1.430156
21,1.376094
22,1.332656
23,1.286875
24,1.248906
25,1.194375
26,1.159844
27,1.128125
28,1.100625
29,1.063438
30,1.035313
31,1.001406
32,0.975469
33,0.962500
34,0.938125
35,0.908594
36,0.898281
37,0.870938
38,0.853437
39,0.840938
40,0.814063
41,0.800937
42,0.787813
43,0.767656
44,0.760781
45,0.739375
46,0.726250
47,0.711875
48,0.698906
49,0.691250
50,0.683281
60,0.583906
70,0.507812
80,0.449062
90,0.407344
100,0.368437
110,0.347344
120,0.319688
130,0.305625
140,0.275781
150,0.268750
160,0.251719
170,0.237500
180,0.230000
190,0.222969
200,0.213281
210,0.205937
220,0.219844
230,0.194375
240,0.187344
250,0.179375
260,0.180625
270,0.177656
280,0.174844
290,0.170469
300,0.168125
